city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
thunderbay,ONI,Strong El Nino,mean_temp,degrees C,6,6,-8.640434652,-8.819869281,1.956032023,-10.96111111,-5.771428571,"1983,1992,1998,2010,2016,2024",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Strong El Nino,temp_anomaly,degrees C,6,6,2.892935693,2.713501064,1.956032023,0.5722592339,5.761941774,"1983,1992,1998,2010,2016,2024",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Strong El Nino,snowfall_total_cm,cm,6,2,107.7,107.7,1.272792206,106.8,108.6,"1983,1992",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Strong El Nino,snow_days,days,6,2,23.5,23.5,0.7071067812,23,24,"1983,1992",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,Strong El Nino,days_below_m20,days,6,4,26.5,28.5,9.609023537,14,35,"1983,1992,2010,2024",Thunder Bay,Northwest,48.37,True,True
toronto,ONI,La Nina,mean_temp,degrees C,17,17,-3.659614958,-3.63,1.618241986,-5.958241758,-0.4263736264,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,La Nina,temp_anomaly,degrees C,17,17,-0.06922340996,-0.03960845231,1.618241986,-2.367850211,3.164017921,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,La Nina,snowfall_total_cm,cm,17,13,86.7,89.3,30.92895084,37,144,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2023",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,La Nina,snow_days,days,17,13,19,19,3.58236421,12,25,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2023",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,La Nina,days_below_m20,days,17,14,2.642857143,2,3.128212634,0,11,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2023,2025",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Neutral,mean_temp,degrees C,13,13,-4.265280391,-4.716049383,2.312735568,-7.675294118,0.02888888889,"1982,1986,1990,1991,1993,1994,1997,2002,2004,2013,2014,2017,2026",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Neutral,temp_anomaly,degrees C,13,13,-0.6748888437,-1.125657835,2.312735568,-4.08490257,3.619280437,"1982,1986,1990,1991,1993,1994,1997,2002,2004,2013,2014,2017,2026",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Neutral,snowfall_total_cm,cm,13,11,88.60909091,92,29.24149294,46.2,160.2,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Neutral,snow_days,days,13,11,19.54545455,19,4.782544017,12,26,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Neutral,days_below_m20,days,13,11,4.181818182,4,4.020402513,0,13,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,El Nino,mean_temp,degrees C,15,15,-3.121012617,-3.479120879,1.825652589,-6.516666667,0.2582417582,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,El Nino,temp_anomaly,degrees C,15,15,0.4693789307,0.1112706686,1.825652589,-2.926275119,3.848633306,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,El Nino,snowfall_total_cm,cm,15,13,70.61538462,69.4,27.2616289,31.6,113,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2016,2019,2020",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,El Nino,snow_days,days,15,13,15.23076923,15,4.567162616,10,24,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2016,2019,2020",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,El Nino,days_below_m20,days,15,15,2.666666667,2,2.968084199,0,10,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Strong El Nino,mean_temp,degrees C,6,6,-1.782452177,-1.628333333,1.587131776,-3.662222222,0.2582417582,"1983,1992,1998,2010,2016,2024",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Strong El Nino,temp_anomaly,degrees C,6,6,1.80793937,1.962058214,1.587131776,-0.07183067453,3.848633306,"1983,1992,1998,2010,2016,2024",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Strong El Nino,snowfall_total_cm,cm,6,5,48.66,51.1,15.12177238,31.6,70.6,"1983,1992,1998,2010,2016",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Strong El Nino,snow_days,days,6,5,12.2,12,2.28035085,10,15,"1983,1992,1998,2010,2016",Toronto Pearson,South-central,43.68,True,True
toronto,ONI,Strong El Nino,days_below_m20,days,6,6,0.6666666667,0,1.032795559,0,2,"1983,1992,1998,2010,2016,2024",Toronto Pearson,South-central,43.68,True,True
windsor,ONI,La Nina,mean_temp,degrees C,17,16,-2.383343923,-2.401275946,1.583429907,-4.518681319,0.532967033,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2021,2022,2023,2025",Windsor,Southwest,42.28,True,True
windsor,ONI,La Nina,temp_anomaly,degrees C,17,16,-0.1751110556,-0.1930430791,1.583429907,-2.310448452,2.7411999,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2021,2022,2023,2025",Windsor,Southwest,42.28,True,True
windsor,ONI,La Nina,snowfall_total_cm,cm,17,12,109.6583333,106.5,35.09256483,63.8,178,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012",Windsor,Southwest,42.28,True,True
windsor,ONI,La Nina,snow_days,days,17,12,21.83333333,20.5,4.108380201,16,28,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012",Windsor,Southwest,42.28,True,True
windsor,ONI,La Nina,days_below_m20,days,17,15,1.133333333,0,2.099886618,0,8,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2021,2022,2025",Windsor,Southwest,42.28,True,True
windsor,ONI,Neutral,mean_temp,degrees C,13,11,-3.173322006,-2.753333333,2.20623627,-5.895555556,0.9811111111,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2026",Windsor,Southwest,42.28,True,True
windsor,ONI,Neutral,temp_anomaly,degrees C,13,11,-0.9650891391,-0.5451004662,2.20623627,-3.687322688,3.189343978,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2026",Windsor,Southwest,42.28,True,True
windsor,ONI,Neutral,snowfall_total_cm,cm,13,9,113.9444444,114.6,43.37637926,71.7,205.8,"1982,1986,1990,1991,1997,2002,2004,2013,2014",Windsor,Southwest,42.28,True,True
windsor,ONI,Neutral,snow_days,days,13,9,22.88888889,20,6.603870919,16,36,"1982,1986,1990,1991,1997,2002,2004,2013,2014",Windsor,Southwest,42.28,True,True
windsor,ONI,Neutral,days_below_m20,days,13,10,2.2,1,2.780887149,0,8,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2026",Windsor,Southwest,42.28,True,True
windsor,ONI,El Nino,mean_temp,degrees C,15,12,-1.738786121,-1.771111111,1.432073306,-4.508888889,0.7677777778,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2019,2020",Windsor,Southwest,42.28,True,True
windsor,ONI,El Nino,temp_anomaly,degrees C,15,12,0.4694467458,0.437121756,1.432073306,-2.300656022,2.976010645,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2019,2020",Windsor,Southwest,42.28,True,True
windsor,ONI,El Nino,snowfall_total_cm,cm,15,10,87,82.9,40.0779241,17.4,157.2,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,El Nino,snow_days,days,15,10,16.6,16,6.552353267,5,25,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,El Nino,days_below_m20,days,15,12,0.3333333333,0,1.154700538,0,4,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2019,2020",Windsor,Southwest,42.28,True,True
windsor,ONI,Strong El Nino,mean_temp,degrees C,6,4,-0.7882478632,-0.6603846154,1.4871887,-2.6,0.7677777778,"1983,1992,1998,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,Strong El Nino,temp_anomaly,degrees C,6,4,1.419985004,1.547848252,1.4871887,-0.3917671329,2.976010645,"1983,1992,1998,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,Strong El Nino,snowfall_total_cm,cm,6,4,65.55,66.05,41.63688269,17.4,112.7,"1983,1992,1998,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,Strong El Nino,snow_days,days,6,4,14.25,13.5,8.995369179,5,25,"1983,1992,1998,2010",Windsor,Southwest,42.28,True,True
windsor,ONI,Strong El Nino,days_below_m20,days,6,4,0,0,0,0,0,"1983,1992,1998,2010",Windsor,Southwest,42.28,True,True
